Tyè 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
568,9721593;0,580424886;;595,5603288;498,046875;0,498046875;;543,0997288;0,541784703;;;;;;;;;;;;;;;;;;;;;;;
568,4900595;0,586115326;;594,3622913;502,9296875;0,502929688;;543,2074232;0,547096317;;;;;;;;;;;;;;;;;;;;;;;
568,0560593;0,591805766;;593,3142418;507,8125;0,5078125;;543,145746;0,552407932;;;;;;;;;;;;;;;;;;;;;;;
567,9472346;0,597496206;;592,5249351;512,6953125;0,512695313;;542,6424048;0,557719547;;;;;;;;;;;;;;;;;;;;;;;
567,8589497;0,603186646;;592,6020016;517,578125;0,517578125;;542,2818838;0,563031161;;;;;;;;;;;;;;;;;;;;;;;
567,9515009;0,608877086;;592,7946646;522,4609375;0,522460938;;541,9081936;0,568342776;;;;;;;;;;;;;;;;;;;;;;;
567,4803309;0,614567527;;592,8881194;527,34375;0,52734375;;541,6902646;0,573654391;;;;;;;;;;;;;;;;;;;;;;;
563,7763311;0,620257967;;592,6789037;532,2265625;0,532226563;;541,0777335;0,578966006;;;;;;;;;;;;;;;;;;;;;;;
564,2347494;0,625948407;;592,3283399;537,109375;0,537109375;;540,8385174;0,58427762;;;;;;;;;;;;;;;;;;;;;;;
564,2570147;0,631638847;;591,5441639;541,9921875;0,541992188;;540,4905528;0,589589235;;;;;;;;;;;;;;;;;;;;;;;
564,6431763;0,637329287;;591,0833673;546,875;0,546875;;540,478767;0,59490085;;;;;;;;;;;;;;;;;;;;;;;
564,6898554;0,643019727;;590,3747663;551,7578125;0,551757813;;539,9376299;0,600212465;;;;;;;;;;;;;;;;;;;;;;;
564,7021294;0,648710167;;593,9343864;556,640625;0,556640625;;539,5629135;0,605524079;;;;;;;;;;;;;;;;;;;;;;;
564,9769719;0,654400607;;593,6741019;561,5234375;0,561523438;;543,3963227;0,610835694;;;;;;;;;;;;;;;;;;;;;;;
565,4064848;0,660091047;;593,5717361;566,40625;0,56640625;;543,1134309;0,616147309;;;;;;;;;;;;;;;;;;;;;;;
565,9772263;0,665781487;;593,2427386;571,2890625;0,571289063;;542,7757431;0,621458924;;;;;;;;;;;;;;;;;;;;;;;
566,5232655;0,671471927;;592,9800085;576,171875;0,576171875;;542,7685351;0,626770538;;;;;;;;;;;;;;;;;;;;;;;
567,0336172;0,677162367;;592,7549742;581,0546875;0,581054688;;542,8696596;0,632082153;;;;;;;;;;;;;;;;;;;;;;;
567,3697915;0,682852807;;592,3005221;585,9375;0,5859375;;543,0157169;0,637393768;;;;;;;;;;;;;;;;;;;;;;;
571,5042016;0,688543247;;592,3556884;590,8203125;0,590820313;;542,9963407;0,642705382;;;;;;;;;;;;;;;;;;;;;;;
571,4980213;0,694233687;;592,3853117;595,703125;0,595703125;;542,8762786;0,648016997;;;;;;;;;;;;;;;;;;;;;;;
571,8169211;0,699924127;;592,106441;600,5859375;0,600585938;;542,7129648;0,653328612;;;;;;;;;;;;;;;;;;;;;;;
